Depth,Radius,Density,Pressure,Temperature,Gravity,c2/c,fc2/c,Periclase,wus,aperov,Bridgemanite,fperov,ab,an,sp,herc,Fosterite,fa,Wadsleyite,fwad,Ringwoodite,fring,odi,Enstatite,fs,ts,jd,di,hed,cen,cts,cor,Akimotoite,faki,gr,alm,Majorite,py,jmaj,cmaj,fmaj,appv,Post-Perovskite w/ Mg,fppv,mfer,ffer,nfer,ca-pv,cfs,ky,neph,coe,seif,q,s,Fe
7923.13346,4251.14485,10.30614,1190.39327,6344.92036,12.54796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7893.08987,4281.18843,10.29732,1186.49687,6331.72227,12.63023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7863.43701,4310.8413,10.28856,1182.62949,6318.6101,12.7113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7834.16193,4340.11638,10.27986,1178.79039,6305.58174,12.7912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7805.25233,4369.02598,10.27122,1174.97885,6292.63476,12.86999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7776.69654,4397.58177,10.26263,1171.19417,6279.76684,12.94769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7748.48354,4425.79477,10.25413,1167.4357,6266.97672,13.02433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7720.60284,4453.67547,10.24568,1163.70282,6254.26303,13.09996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7693.04439,4481.23392,10.23728,1159.99487,6241.6248,13.17459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7665.79757,4508.48074,10.22812,1156.31132,6229.05442,13.24826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7638.85229,4535.42602,10.21903,1152.65163,6216.54498,13.32098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7612.19993,4562.07837,10.21,1149.01526,6204.09545,13.39279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
